question_text,option_a,option_b,option_c,option_d,correct_answer
Almost the entire mass of an atom is concentrated in the __________.,proton,electrons,nucleus,neutrons,c
Electron was discovered by __________.,Chadwick,Thomson,Goldstein,Bohr,b
An atom has a mass number of 23 and atomic number 11. The number of protons is __________.,11,12,23,44,a
Which of the following represents a chemical property or change?,Br (l)  Br (g),Gold is malleable and ductile,Highpurity water has resistance  18.2 Mcm,2 HO (l)  2 H (g) + O (g),d
Which substance conducts electricity in water?,CH,CHO,CHCl,KClO,d
Range of pH scale is __________.,7 to 10,0 to 10,0 to 14,7 to 14,c
pH of an antacid solution is usually __________., 6.5, 7.0,> 10,> 14,b
"In thermochemistry, an isolated system __________.",exchanges mass and energy,exchanges volume/pressure,does not exchange mass or energy,partially exchanges energy,c
Specific heat capacity is the amount of heat required to raise 1 g of a substance by __________.,1 C or 1 K,2 C,10 C,0.1 C,a
"For the reaction CH + O  CO + HO, how much O is required to burn 1 mole CH fully?",6 mol,12 mol,9 mol,7.5 mol,d
Concentration of nitrate ion in 425 mL solution containing 32 g Mg(NO) is ________ M.,0.75 M,1.02 M,1.50 M,0.32 M,b
Electronic configuration of element with atomic number 26 is __________.,[Ar] 4s 3d,[Ar] 4s 3d,[Ne] 3s 3p,[Ar] 4s 3d,a
Pressure of 0.55 mol NH gas in a 2.00 L vessel at 25 C is about ________ atm.,3.01,6.73,1.25,0.82,b
Partial pressure of Ar in a gas mix with total 1380 mmHg and 1.50 mol Ar is ________ mmHg.,302,410,500,620,a
Balanced equation for PCl + HO  HPO + HCl has coefficients __________.,1:1:1:1,1:2:1:2,1:3:1:3,2:3:2:3,c
Stoichiometry: Determine grams of Al in 2.154  10 kg.,2.15 g,7.98 g,9.22 g,4.32 g,b
Matter is made of very small particles called __________.,electrons,atoms,molecules,elements,b
Elements in the same group in periodic table ________ chemically.,tend to be more similar,less similar,not similar,identical,a
The law PV = nRT is known as __________.,Boyle's law,Ideal gas law,Charles' law,Dalton's law,b
Planck's constant (h) equals approximately ________ Js.,6.626  10,1.38  10,3.00  10,0.0821,a
Speed of light (c) is ________ m/s.,3.00  10,3.00  10,6.02  10,0.0821,b
q = mcT expresses formula for __________.,ideal gas law,specific heat calculation,equilibrium constant,partial pressure,b
The Rydberg constant equals __________.,6.626  10 Js,2.179  10 J,0.0821 Latm/(molK),3.00  10 m/s,b
1 atm equals ________ mmHg (Torr).,760,800,101,1000,a
1 cal equals ________ J.,4.0,4.184,3.00,6.02,b
Which of the following uses of hydrogen is NOT correct?,Synthesis of ammonia,Hydrogenation of oil,Manufacture of methanol,Synthesis of zinc,d
What is the solubility of MgF in pure water if K = 6.8  10?,0.0012 M,0.0024 M,0.0008 M,0.0056 M,a
A 0.43 g sample of iron per liter of water corresponds to what in ppm?,430 ppm,0.43 ppm,4.3 ppm,43 ppm,a
"Calculate Keq if at 450 C [H] = 0.885 M, [I] = 0.20 M, [HI] = 0.945 M.",1.2,5.045,0.89,2.5,b
Which balanced equation corresponds to PCl + HO  HPO + HCl?,1:1:1:1,1:2:1:2,1:3:1:3,2:3:2:3,c
